"FID","ano","geoparent","granularity","geocode","isla","gcomarca","comarca","municipio","poblacion","poblacion_edad_media","poblacion_edad_media_d","poblacion_hombres","poblacion_mujeres","poblacion_indice_feminidad","poblacion_nacional","poblacion_extranjera","poblacion_extranjera_pc","poblacion_00a14","poblacion_15a64","poblacion_65mas","poblacion_65a74","poblacion_75a84","poblacion_85mas","poblacion_00a14_pc","poblacion_15a64_pc","poblacion_65mas_pc","poblacion_indice_dependencia","poblacion_indice_dependencia_may","poblacion_indice_dependencia_men","poblacion_indice_vejez","poblacion_indice_juventud","poblacion_indice_sobreenvejecimi","poblacion_indice_ancianidad","superficie","poblacion_ds","poblacion_extranjera_ds","poblacion_00a02","poblacion_03a05","poblacion_06a11","poblacion_12a15","poblacion_16a17","poblacion_00a17","poblacion_nacida_canarias","poblacion_nacida_es_xcanarias","poblacion_nacida_extranjero","poblacion_nacida_canarias_pc","poblacion_nacida_es_xcanarias_pc","poblacion_nacida_extranjero_pc","geom"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6eb2","2022","35015","GRID_250","250mN096725E194850","ES704","ES704A0","ES704A03","35015","33","45.5606","45.589","23","10","43.4783","29","4","12.1212","4","22","7","","","","12.1212","66.6667","21.2121","50","31.8182","18.1818","175","57.1429","","","6.25","528","64","","","","","","","28","0","5","84.8485","0","15.1515","MULTIPOLYGON (((28.350783096045472 -14.106466643640731, 28.352968950724794 -14.107085613980297, 28.35366426386494 -14.10465090283351, 28.351478389004125 -14.104031983678711, 28.350783096045472 -14.106466643640731)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6eb3","2022","35015","GRID_250","250mN096725E195050","ES704","ES704A0","ES704A03","35015","28","50.3929","50.2979","16","12","75","","","","0","21","7","","","","0","75","25","33.3333","33.3333","0","","0","","","6.25","448","","","","","","","","26","","","92.8571","","","MULTIPOLYGON (((28.3563435187589 -14.086988521227497, 28.358529534848653 -14.087607081980106, 28.359224299117006 -14.085172130044919, 28.357038262857586 -14.084553620508181, 28.3563435187589 -14.086988521227497)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6ebe","2022","35015","GRID_250","250mN096750E194825","ES704","ES704A0","ES704A03","35015","96","38.8958","38.8978","49","47","95.9184","","","","12","76","8","","","","12.5","79.1667","8.3333","26.3158","10.5263","15.7895","66.6667","150","","","6.25","1536","","","","","","","","89","","","92.7083","","","MULTIPOLYGON (((28.352273568981474 -14.109520295021385, 28.354459385632712 -14.110139366927468, 28.35515478756063 -14.107704634702097, 28.352968950724794 -14.107085613980297, 28.352273568981474 -14.109520295021385)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6ebf","2022","35015","GRID_250","250mN096750E194850","ES704","ES704A0","ES704A03","35015","12","47.1667","47.2245","4","8","200","12","0","0","","9","","","","","","75","","","","","","","","","6.25","192","0","","","","","","","12","0","0","100","0","0","MULTIPOLYGON (((28.352968950724794 -14.107085613980297, 28.35515478756063 -14.107704634702097, 28.355850120883904 -14.105269872367153, 28.35366426386494 -14.10465090283351, 28.352968950724794 -14.107085613980297)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6ec0","2022","35015","GRID_250","250mN096750E194875","ES704","ES704A0","ES704A03","35015","24","45.8333","45.812","11","13","118.1818","24","0","0","","19","","","","","","79.1667","","","","","","","","","6.25","384","0","","","","","","","24","0","0","100","0","0","MULTIPOLYGON (((28.35366426386494 -14.10465090283351, 28.355850120883904 -14.105269872367153, 28.356545385601216 -14.102835079924219, 28.35435950840061 -14.10221616158264, 28.35366426386494 -14.10465090283351)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6ec1","2022","35015","GRID_250","250mN096750E195025","ES704","ES704A0","ES704A03","35015","34","37.6765","37.6893","23","11","47.8261","34","0","0","","26","","","","","","76.4706","","","","","","","","","6.25","544","0","","","","","","","30","","","88.2353","","","MULTIPOLYGON (((28.357834701966844 -14.090042003822292, 28.360020680053463 -14.09066066614521, 28.360715533108063 -14.088225693087626, 28.358529534848653 -14.087607081980106, 28.357834701966844 -14.090042003822292)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6ec2","2022","35015","GRID_250","250mN096750E195050","ES704","ES704A0","ES704A03","35015","97","41.6753","41.6438","42","55","130.9524","76","21","21.6495","11","72","14","","","","11.3402","74.2268","14.433","34.7222","19.4444","15.2778","127.2727","78.5714","","","6.25","1552","336","","","","","","","68","10","19","70.1031","10.3093","19.5876","MULTIPOLYGON (((28.358529534848653 -14.087607081980106, 28.360715533108063 -14.088225693087626, 28.361410317547683 -14.085790689933145, 28.359224299117006 -14.085172130044919, 28.358529534848653 -14.087607081980106)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6ec3","2022","35015","GRID_250","250mN096750E195075","ES704","ES704A0","ES704A03","35015","37","31.1486","31.1089","21","16","76.1905","","","","9","28","0","","","","24.3243","75.6757","0","32.1429","0","32.1429","0","","","","6.25","592","","","","","","","","36","","","97.2973","","","MULTIPOLYGON (((28.359224299117006 -14.085172130044919, 28.361410317547683 -14.085790689933145, 28.362105033371073 -14.083355656683358, 28.359918994770595 -14.08273714801831, 28.359224299117006 -14.085172130044919)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6ecf","2022","35015","GRID_250","250mN096775E195050","ES704","ES704A0","ES704A03","35015","19","46.8158","46.7367","13","6","46.1538","19","0","0","","17","","","","","","89.4737","","","","","","","","","6.25","304","0","","","","","","","19","0","0","100","0","0","MULTIPOLYGON (((28.360715533108063 -14.088225693087626, 28.36290151353716 -14.088844354554658, 28.363596318149714 -14.08640930017747, 28.361410317547683 -14.085790689933145, 28.360715533108063 -14.088225693087626)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_6fd2","2022","35015","GRID_250","250mN097050E194775","ES704","ES704A0","ES704A03","35015","64","50.9688","50.9807","34","30","88.2353","64","0","0","","45","","","","","","70.3125","","","","","","","","","6.25","1024","0","","","","","","","60","","","93.75","","","MULTIPOLYGON (((28.37711073704778 -14.121822985158783, 28.37929629915025 -14.122442764491272, 28.379992080662333 -14.120007478105443, 28.377806498352598 -14.119387749990427, 28.37711073704778 -14.121822985158783)))"
"Malla de 250m-20220101.fid-784d4b83_19a7406b760_700e","2022","35015","GRID_250","250mN097100E194875","ES704","ES704A0","ES704A03","35015","47","44.4787","44.4668","27","20","74.0741","","","","","42","","","","","","89.3617","","","","","","","","","6.25","752","","","","","","","","44","","","93.617","","","MULTIPOLYGON (((28.38426463855611 -14.113321062875425, 28.386450245797064 -14.113940738196764, 28.38714579322964 -14.11150522870618, 28.384960165784083 -14.110885604624745, 28.38426463855611 -14.113321062875425)))"
