"geocode","etiqueta","granularidad","gcd_isla","gcd_municipio","superficie","utm_x","utm_y","longitud","latitud"
"250mN094350E191625","250mN094350E191625","GRID_250","ES704","35015","6.25","562877.11","3103401.33","-14.360187","28.054469"
"250mN094350E191650","250mN094350E191650","GRID_250","ES704","35015","6.25","563115.12","3103480.37","-14.357761","28.055171"
"250mN094350E191675","250mN094350E191675","GRID_250","ES704","35015","6.25","563353.13","3103559.41","-14.355335","28.055873"
"250mN094350E191700","250mN094350E191700","GRID_250","ES704","35015","6.25","563591.14","3103638.45","-14.352909","28.056575"
"250mN094350E191725","250mN094350E191725","GRID_250","ES704","35015","6.25","563829.15","3103717.48","-14.350483","28.057277"
"250mN094350E191750","250mN094350E191750","GRID_250","ES704","35015","6.25","564067.16","3103796.51","-14.348057","28.057979"
"250mN094350E191775","250mN094350E191775","GRID_250","ES704","35015","6.25","564305.17","3103875.54","-14.34563","28.058681"
"250mN094350E191800","250mN094350E191800","GRID_250","ES704","35015","6.25","564543.17","3103954.57","-14.343204","28.059383"
"250mN094350E191825","250mN094350E191825","GRID_250","ES704","35015","6.25","564781.18","3104033.59","-14.340778","28.060085"
"250mN094350E191850","250mN094350E191850","GRID_250","ES704","35015","6.25","565019.19","3104112.61","-14.338352","28.060786"
"250mN094350E191875","250mN094350E191875","GRID_250","ES704","35015","6.25","565257.2","3104191.63","-14.335926","28.061488"
"250mN094350E191900","250mN094350E191900","GRID_250","ES704","35015","6.25","565495.21","3104270.64","-14.333499","28.062189"
"250mN094350E191925","250mN094350E191925","GRID_250","ES704","35015","6.25","565733.22","3104349.65","-14.331073","28.062891"
"250mN094350E191950","250mN094350E191950","GRID_250","ES704","35015","6.25","565971.23","3104428.66","-14.328647","28.063592"
"250mN094350E191975","250mN094350E191975","GRID_250","ES704","35015","6.25","566209.23","3104507.67","-14.32622","28.064293"
"250mN094350E192000","250mN094350E192000","GRID_250","ES704","35015","6.25","566447.24","3104586.67","-14.323794","28.064995"
"250mN094350E192025","250mN094350E192025","GRID_250","ES704","35015","6.25","566685.25","3104665.67","-14.321367","28.065696"
"250mN094350E192050","250mN094350E192050","GRID_250","ES704","35015","6.25","566923.26","3104744.67","-14.318941","28.066397"
"250mN094350E192075","250mN094350E192075","GRID_250","ES704","35015","6.25","567161.27","3104823.67","-14.316514","28.067098"
"250mN094350E192100","250mN094350E192100","GRID_250","ES704","35015","6.25","567399.27","3104902.66","-14.314088","28.067799"
"250mN094350E192125","250mN094350E192125","GRID_250","ES704","35015","6.25","567637.28","3104981.65","-14.311661","28.0685"
"250mN094350E192150","250mN094350E192150","GRID_250","ES704","35015","6.25","567875.29","3105060.63","-14.309235","28.069201"
"250mN094350E192175","250mN094350E192175","GRID_250","ES704","35015","6.25","568113.3","3105139.62","-14.306808","28.069901"
"250mN094350E192200","250mN094350E192200","GRID_250","ES704","35015","3.8116","568295.82","3105207.96","-14.304947","28.070509"
"250mN094350E192225","250mN094350E192225","GRID_250","ES704","35015","0.1008","568452.4","3105355.76","-14.303344","28.071835"
"250mN094375E191425","250mN094375E191425","GRID_250","ES704","35015","0.0473","560989.86","3103164.7","-14.379402","28.052421"
"250mN094375E191450","250mN094375E191450","GRID_250","ES704","35015","2.209","561182.14","3103210.87","-14.377443","28.052829"
"250mN094375E191475","250mN094375E191475","GRID_250","ES704","35015","1.7988","561300.46","3103230.91","-14.376238","28.053005"
"250mN094375E191500","250mN094375E191500","GRID_250","ES704","35015","2.668","561606.01","3103320.69","-14.373125","28.053801"
"250mN094375E191525","250mN094375E191525","GRID_250","ES704","35015","1.7704","561843.54","3103401.63","-14.370704","28.05452"
"250mN094375E191550","250mN094375E191550","GRID_250","ES704","35015","4.3984","562091.92","3103440.42","-14.368174","28.054859"
"250mN094375E191575","250mN094375E191575","GRID_250","ES704","35015","6.25","562338.82","3103484.96","-14.36566","28.055249"
"250mN094375E191600","250mN094375E191600","GRID_250","ES704","35015","6.25","562576.83","3103564.01","-14.363234","28.055952"
"250mN094375E191625","250mN094375E191625","GRID_250","ES704","35015","6.25","562814.84","3103643.06","-14.360808","28.056654"
"250mN094375E191650","250mN094375E191650","GRID_250","ES704","35015","6.25","563052.85","3103722.1","-14.358382","28.057356"
"250mN094375E191675","250mN094375E191675","GRID_250","ES704","35015","6.25","563290.86","3103801.14","-14.355955","28.058058"
"250mN094375E191700","250mN094375E191700","GRID_250","ES704","35015","6.25","563528.87","3103880.18","-14.353529","28.05876"
"250mN094375E191725","250mN094375E191725","GRID_250","ES704","35015","6.25","563766.88","3103959.21","-14.351103","28.059462"
"250mN094375E191750","250mN094375E191750","GRID_250","ES704","35015","6.25","564004.89","3104038.25","-14.348677","28.060164"
"250mN094375E191775","250mN094375E191775","GRID_250","ES704","35015","6.25","564242.89","3104117.28","-14.346251","28.060866"
"250mN094375E191800","250mN094375E191800","GRID_250","ES704","35015","6.25","564480.9","3104196.3","-14.343825","28.061568"
"250mN094375E191825","250mN094375E191825","GRID_250","ES704","35015","6.25","564718.91","3104275.33","-14.341398","28.06227"
"250mN094375E191850","250mN094375E191850","GRID_250","ES704","35015","6.25","564956.92","3104354.35","-14.338972","28.062971"
"250mN094375E191875","250mN094375E191875","GRID_250","ES704","35015","6.25","565194.93","3104433.37","-14.336546","28.063673"
"250mN094375E191900","250mN094375E191900","GRID_250","ES704","35015","6.25","565432.94","3104512.38","-14.334119","28.064374"
"250mN094375E191925","250mN094375E191925","GRID_250","ES704","35015","6.25","565670.95","3104591.39","-14.331693","28.065076"
"250mN094375E191950","250mN094375E191950","GRID_250","ES704","35015","6.25","565908.96","3104670.41","-14.329267","28.065777"
"250mN094375E191975","250mN094375E191975","GRID_250","ES704","35015","6.25","566146.97","3104749.41","-14.32684","28.066479"
